transfer date,player name,position,from,to,price
mar 15,jens lehmann,goalkeeper,stuttgart,arsenal,0
feb 10,shefki kuqi,attacker,swansea,newcastle,0
feb 1,fernando torres,attacker,liverpool,chelsea,58400000
feb 1,david luiz,defender,benfica,chelsea,25000000
feb 1,conor sammon,attacker,kilmarnock ,wigan athletic,undisclosed
feb 1,paul mccallum,attacker,dulwich hamlet,west ham,undisclosed
feb 1,apostolos vellios,attacker,iraklis,everton,undisclosed
feb 1,robbie keane,attacker,tottenham,west ham,loan
jan 31,jamie ohara,midfielder,tottenham,wolverhampton,loan
jan 31,mauro formica,midfielder,newells old boys,blackburn,4000000
jan 31,robbie keane,attacker,tottenham,west ham,loan
jan 31,luis suarez,attacker,ajax,liverpool,26500000
jan 31,james beattie,attacker,rangers,blackpool,loan
jan 31, stephen ireland ,midfielder,aston villa,newcastle,loan
jan 31,adriano basso,goalkeeper,bristol city,wolverhampton,0
jan 31,eidur gudjohnsen,attacker,stoke city,fulham,loan
jan 31,michael bradley,midfielder,borussia mgladbach,aston villa,loan
jan 31,andy carroll,attacker,newcastle,liverpool,41000000
jan 31,daniel sturridge,attacker,chelsea,bolton,loan
jan 31,ruben rochina ,attacker,barcelona,blackburn,undisclosed
jan 31,conor thomas ,midfielder,coventry,liverpool,loan
jan 29,sulley muntari,midfielder,inter milan,sunderland ,loan
jan 29,stephane sessegnon ,attacker,paris s-g,sunderland,7000000
jan 28,obafemi martins,attacker, rubin kazan,birmingham,loan
jan 28,carlos vela,attacker,arsenal,west bromwich,loan
jan 28,curtis davies,defender,aston villa,birmingham,4000000
jan 26,gael kakuta,attacker,chelsea,fulham,loan
jan 25,gary oneil,defender,middlesbrough,west ham,undisclosed
jan 24,demba ba,attacker,hoffenheim,west ham,loan
jan 21,john carew,attacker,aston villa,stoke city,loan
jan 20,david wheater,defender,middlesbrough,bolton,undisclosed
jan 20,adam hammill,midfielder,barnsley,wolverhampton,"590,000"
jan 20,steven pienaar,midfielder,everton,tottenham,3500000
jan 18,darren bent ,attacker,sunderland,aston villa,21500000
jan 18,jermaine jones,midfielder,schalke,blackburn,undisclosed
jan 15,jean makoun ,midfielder,lyon,aston villa,7000000
jan 14,roque santa cruz,attacker,manchester city,blackburn,loan
jan 13, david bentley,midfielder,tottenham,birmingham,loan
jan 13,wayne bridge ,defender,manchester city,west ham,loan
jan 8,edin dzeko  ,attacker,wolfsburg,manchester city,32500000
jan 8,steve sidwell,midfielder,aston villa,fulham,undisclosed
jan 8, bongani khumalo,defender,supersport utd,tottenham,1800000
