transfer date,player name,position,from,to,price
feb 1,robin quaison,midfielder,palermo,mainz,2500000
jan 31,patrick banggaard,defender,midtjylland,darmstadt,undisclosed
jan 31,leon bailey,attacker,genk,bayer leverkusen,13500000
jan 31,wilson kamavuaka,midfielder,panteolikos,darmstadt,undisclosed
jan 31,moritz leitner,midfielder,lazio,augsburg,2000000
jan 31,vincent sierro,midfielder,fc sion,sc freiburg,undisclosed
jan 31,marius wolf,attacker,hannover 96,eint. frankfurt,loan
jan 31,hamit altintop,midfielder,galatasaray,darmstadt,0
jan 30,bojan krkic,attacker,stoke,mainz,loan
jan 30,ashkan dejagah,midfielder,al-arabi,wolfsburg,0
jan 30,walace,midfielder,gremio,hamburg,9200000
jan 26,markus steinhofer,defender,sparta praha,darmstadt,0
jan 26,daniel caligiuri,midfielder,wolfsburg,schalke,2500000
jan 26,neven subotic,defender,bor. dortmund,fc koln,loan
jan 24,terrence boyd,attacker,rb leipzig,darmstadt,undisclosed
jan 23,alexander isak,attacker,aik solna,bor. dortmund,8600000
jan 17,kyriakos papadopoulos,defender,bayer leverkusen,hamburg,loan
jan 14,sidney sam,attacker,schalke,darmstadt ,loan
jan 13,dayot upamecano,defender,rb salzburg,rb leipzig,10000000
jan 10,holger badstuber,goalkeeper,bayern munich,schalke,loan
jan 10,guido burgstaller,attacker,nuremberg,schalke,1500000
jan 9,paul-georges ntep,attacker,stade rennais,wolfsburg,5000000
jan 6,yunus malli,midfielder,mainz,wolfsburg,12500000
jan 5,timothy kolodziejczak,defender,sevilla,bor. mgladbach,7500000
jan 1,mergim mavraj,defender,fc cologne,hamburg,1800000
aug 31,marcel tisserand,defender,monaco,ingolstadt,5000000
aug 31,kyriakos papadopoulos,defender,bayer leverkusen,leipzig,loan
aug 31,shani tarashaj,attacker,everton,eint. frankfurt,loan
aug 31,yevhen konoplyanka,midfielder,sevilla,schalke,loan
aug 31,andre ramalho,defender,bayer leverkusen,mainz,loan
aug 31,philipp wollscheid,defender,stoke,wolfsburg,loan
aug 31,martin hinteregger,defender,salzburg,augsburg,7000000
aug 31,serge gnabry,midfielder,arsenal,werder bremen,undisclosed
aug 31,douglas santos,defender,atletico mineiro,hamburg,10000000
aug 30,roman bezjak,attacker,rijeka,darmstadt,undisclosed
aug 29,bernardo,midfielder,salzburg,leipzig,4000000
aug 27,benjamin stambouli,midfielder,psg,schalke,8500000
aug 26,alexander esswein,midfielder,augsburg,hertha,2500000
aug 26,jonathan schmid,midfielder,hoffenheim,augsburg,undisclosed
aug 25,levin oztunali,midfielder,bayer leverkusen,mainz,undisclosed
aug 25,nabil bentaleb,midfielder,tottenham,schalke,loan
aug 24,aleksandar dragovic,defender,dynamo kyev,bayer leverkusen,18000000
aug 24,robert bauer,defender,ingolstadt,werder bremen,2500000
aug 23,anis ben-hatira,attacker,eint. frankfurt,darmstadt,0
aug 15,michael hector,defender,chelsea,eint. frankfurt,loan
aug 15,laszlo kleinheisler,defender,werder bremen,darmstadt,loan
aug 9,florent hadergjonaj,defender,young boys,ingolstadt,2000000
aug 9,denys oliynyk,midfielder,vitesse,darmstadt,0
aug 6,rafal gikiewicz,goalkeeper,braunschweig,sc freiburg,1000000
aug 6,allan souza,midfielder,liverpool,hertha,loan
aug 5,lamine sane,defender,bordeaux,werder bremen,0
aug 4,anthony jung,defender,leipzig,ingolstadt,loan
aug 3,max kruse,attacker,wolfsburg,werder bremen,6000000
aug 2,baba rahman,defender,chelsea,schalke,loan
aug 1,coke,defender,sevilla,schalke,5000000
aug 1,sam schreck,midfielder,st pauli,bayer leverkusen,0
jul 25,filip kostic,midfielder,stuttgart,hamburg,14000000
jul 23,guillermo varela,defender,manchester utd,eint. frankfurt,loan
jul 22,andre schurrle,attacker,wolfsburg,bor. dortmund,30000000
jul 21,ondrej duda,midfielder,legia warsaw,hertha,5000000
jul 21,borja mayoral,attacker,real madrid,wolfsburg,loan
jul 21,alen halilovic,midfielder,barcelona,hamburg,5000000
jul 21,mario gotze,attacker,bayern munich,bor. dortmund,26000000
jul 20,gojko kacar,midfielder,hamburg,augsburg,0
jul 20,sehrou guirassy,attacker,lille,fc koln,6000000
jul 18,jean-philippe gbamin,defender,lens,mainz,5000000
jul 16,kerem demirbay,midfielder,hamburg,hoffenheim,1700000
jul 14,anto grgic,midfielder,zurich,stuttgart,2000000
jul 13,jesus vallejo,defender,real madrid,eint. frankfurt,loan
jul 10,niklas moisander,defender,sampdoria,werder bremen,1800000
jul 10,fallou diagne,defender,rennes,werder bremen,1500000
jul 8,taleb tawatha,defender,maccabi haifa,eint. frankfurt,1200000
jul 6,ante rebic,attacker,fiorentina,eint. frankfurt,loan
jul 5,omar mascarell,midfielder,real madrid,eint. frankfurt,undisclosed
jul 1,jose rodriguez,midfielder,galatasaray,mainz,2150000
jul 1,sandro wagner,attacker,darmstatd,hoffenheim,2800000
jun 30,lucas rupp,midfielder,stuttgart,hoffenheim,6000000
jun 27,jeffrey bruma,defender,psv eindhoven,wolfsburg,15000000
jun 27,breel embolo,attacker,basel,schalke,20000000
jun 22,florian kainz,goalkeeper,rapid vienna,werder bremen,3500000
jun 21,mamadou doucure,defender,psg,bor. mgladbach,0
jun 21,martin hansen,goalkeeper,den haag,ingolstadt,1000000
jun 20,takashi usami,attacker,gamba osaka,augsburg,undisclosed
jun 20,ramazan ozcan,goalkeeper,ingolstadt,bayer leverkusen,undisclosed
jun 17,marvin friedrich,defender,schalke,augsburg,undisclosed
jun 17,janik haberer,attacker,hoffenheim,sc freiburg,2000000
jun 16,aleksandar ignjovski,defender,eint. frankfurt,sc freiburg,"750,000"
jun 16,raphael guerreiro,defender,lorient,bor. dortmund,12000000
jun 13,jannik vestergaard,defender,werder bremen,bor. mgladbach,11000000
jun 11,gerrit holtmann,midfielder,braunschweig,mainz,3000000
jun 11,jaroslav drobny,goalkeeper,hamburg,werder bremen,0
jun 8,christoph kramer,midfielder,bayer leverkusen,bor. mgladbach,15000000
jun 8,emre mor,midfielder,nordsjaelland,bor. dortmund,4000000
jun 7,sebastian rode,midfielder,bayern munich,bor. dortmund,13000000
jun 5,marc bartra,defender,barcelona,bor. dortmund,8000000
jun 3,ousmane dembele,attacker,rennes,bor. dortmund,15000000
jun 3,kevin volland,attacker,hoffenheim,bayer leverkusen,20000000
jun 3,renato sanches,midfielder,benfica,bayern munich,35000000
jun 3,joel pohjanpalo,attacker,fortuna dusseldorf,bayer leverkusen,undisclosed
jun 3,tobias strobl,midfielder,hoffenheim,bor. mgladbach,0
jun 3,naldo,defender,wolfsburg,schalke,0
jun 3,mats hummels,defender,bor. dortmund,bayern munich,38000000
jun 3,robert leipertz,midfielder,heidenheim,schalke,undisclosed
jun 3,jhon cordoba,attacker,granada,mainz,undisclosed
jun 3,mikel merino,midfielder,osasuna,bor. dortmund,4000000
jun 3,yannick gerhardt,midfielder,fc koln,wolfsburg,13000000
jun 3,christian mathenia,goalkeeper,darmstadt,hamburg,undisclosed
jun 3,joshua guilavogui,midfielder,atletico madrid,wolfsburg,undisclosed
jun 3,julian baumgartlinger,midfielder,mainz,bayer leverkusen,4000000
jun 3,josip brekalo,attacker,dinamo zagreb,wolfsburg,10000000
jun 3,andrej kramaric,attacker,leicester,hoffenheim,undisclosed
