transfer date,player name,position,from,to,price
feb 1,andrej kotnik,midfielder,nd gorica,crotone,loan
feb 1,tomas filipiak,midfielder,bratislava,udinese,undisclosed
feb 1,gianluca scamacca,attacker,psv,sassuolo,undisclosed
jan 31,omar el kaddouri,midfielder,napoli,empoli,1200000
jan 31,hans hateboer,defender,groningen,atalanta,undisclosed
jan 31,raffaele palladino,attacker,crotone,genoa,"250,000"
jan 31,arnel jakupovic,attacker,middlesbrough,empoli,"998,000"
jan 31,nicolas rodriguez,defender,montevideo,pescara,loan
jan 31,trent sainsbury,defender,jiangsu suning,inter milan,loan
jan 31,anthony mounier,midfielder,saint etienne,atalanta,loan
jan 31,lorenco simic,defender,hajduk split,sampdoria,1400000
jan 31,valerio verre,midfielder,pescara,sampdoria,4000000
jan 31,valerio verre,midfielder,sampdoria,pescara,loan
jan 31,serge gakpe,attacker,genoa,chievo,loan
jan 31,mathias ranegie,attacker,watford,udinese ,loan
jan 31,giuseppe de luca,attacker,bari,atalanta,loan
jan 31,matheus pereira,midfielder,empoli,juventus,loan
jan 30,martin remacle,midfielder,standard liege,torino,undisclosed
jan 30,lucas ocampos,attacker,marseille,ac milan,loan
jan 30,filip djuricic,attacker,benfica,sampdoria,3000000
jan 30,riccardo orsolini,attacker,ascoli,juventus,6000000
jan 29,riccardo saponara,midfielder,empoli,fiorentina,loan
jan 29,clement grenier,midfielder,lyon,roma,loan
jan 28,assane gnoukouri,midfielder,inter milan,udinese,loan
jan 27,oscar hiljemark,midfielder,palermo,genoa,loan
jan 27,bryan cristante,midfielder,benfica,atalanta,loan
jan 27,maxwell acosty,attacker,latina calcio,crotone,"600,000"
jan 26,sulley muntari,midfielder,ittihad,pescara,0
jan 26,gaetano castrovilli,midfielder,bari,fiorentina,1200000
jan 26,giuseppe scalera,defender,bari,fiorentina,loan
jan 26,senna miangue,defender,inter milan,cagliari,loan
jan 26,nikola pejovic,defender,fk zemun,empoli,loan
jan 25,miha zajc,midfielder,nk olimpija,empoli,1500000
jan 24,paolo farago,midfielder,novara,cagliari,loan
jan 24,grigoris castanos,midfielder,juventus,pescara,loan
jan 24,gerard deulofeu,attacker,everton,ac milan,loan
jan 21,toni sunjic,defender,stuttgart,palermo,loan
jan 17,loick landre,defender,lens,genoa,undisclosed
jan 16,kevin lasagna,attacker,carpi,udinese,undisclosed
jan 14,danilo cataldi,midfielder,lazio,genoa,loan
jan 14,pierluigi gollini,goalkeeper,aston villa,atalanta,loan
jan 14,marco sportiello,goalkeeper,atalanta,fiorentina,loan
jan 13,mame thiam,attacker,juventus,empoli,loan
jan 13,mattia caldara,defender,atalanta,juventus,15000000
jan 13,bruno petkovic,attacker,trapani,bologna,1300000
jan 13,leandrinho,attacker,ponte preta,napoli,"600,000"
jan 13,mattia caldara,defender,juventus,atalanta,loan
jan 12,andres cubas,midfielder,boca juniors,pescara,loan
jan 11,adel taarabt,midfielder,benfica,genoa,loan
jan 11,marco storari,goalkeeper,cagliari,ac milan,undisclosed
jan 11,gabriel,goalkeeper,ac milan,cagliari,loan
jan 11,roberto gagliardini,midfielder,sampdoria,inter ,loan
jan 9,carlao,defender,apoel,torino,"500,000"
jan 6,cesare bovo,defender,torino,pescara,0
jan 6,mauricio pinilla,attacker,atalanta,genoa,loan
jan 5,juan iturbe,attacker,roma,torino,loan
jan 5,iago falque,midfielder,roma,torino,6000000
jan 5,alberto cerri,attacker,juventus,pescara,loan
jan 5,leonardo morossini,midfielder,brescia,genoa,2500000
jan 5,andrea beghetto ,midfielder,spal,genoa,1500000
jan 4,gugliermo stendardo,defender,atalanta,pescara,0
jan 4,bartosz bereszynski,defender,legia warsaw,sampdoria,2000000
jan 3,leonardo pavoletti,attacker,genoa,napoli,13000000
jan 3,tomas rincon,midfielder,genoa,juventus,8000000
jan 3,alberto aquilani,midfielder,pescara,sassuolo,loan
jan 3,stevan jovetic,attacker,manchester city,inter,13500000
jan 3,emerson,defender,santos,roma,2000000
sep 1,djamel mesbah,defender,sampdoria,crotone,0
sep 1,alfred gomis,goalkeeper,torino,bologna,loan
sep 1,filip helander,defender,verona,bologna,loan
aug 31,vasilis torosidis,defender,roma,bologna,undisclosed
aug 31,umar sadiq,attacker,roma,bologna,loan
aug 31,gabriel barbosa,attacker,santos,inter milan,28000000
aug 31,juan cuadrado,midfielder,chelsea,juventus,loan
aug 31,gianmarco ferrari,defender,sassuolo,crotone,loan
aug 31,pietro iemello ,attacker,spezia,sassuolo,2300000
aug 31,marcelo trotta,attacker,sassuolo,crotone,loan
aug 31,diego falcinelli,attacker,sassuolo,crotone,loan
aug 31,alberto aquilani,midfielder,sporting cp,pescara,0
aug 31,maximiliano oliveira,defender,penarol,fiorentina,loan
aug 31,joe hart,goalkeeper,manchester city,torino,loan
aug 31,davide biraschi,defender,avellino,genoa,1600000
aug 31,luis alberto,midfielder,liverpool,lazio,5000000
aug 31,davide brivio,defender,atalanta,genoa,undisclosed
aug 31,luka krajnc,defender,cagliari,sampdoria,loan
aug 31,nikola dukic,defender,partizan belgrade,chievo,undisclosed
aug 31,panagiotis tachtsidis,midfielder,torino,cagliari,loan
aug 31,federico viviano,midfielder,verona,bologna,loan
aug 31,lorenzo crisetig,midfielder,inter milan,bologna,undisclosed
aug 31,edenilson,midfielder,udinese,genoa,loan
aug 31,lorenzo crisetig,midfielder,bologna,crotone,loan
aug 31,nikola maksimovic,defender,torino,napoli,loan
aug 31,mirko valdifiori,midfielder,napoli,torino,3500000
aug 31,luca bittante,defender,empoli,cagliari,loan
aug 31,aleksandar pesic,attacker,toulouse,atalanta,loan
aug 31,federico ricci,attacker,roma,sassuolo,loan
aug 31,lucas orban,defender,valencia,genoa,0
aug 31,matias fernandez,midfielder,fiorentina,ac milan,loan
aug 31,etrit berisha,goalkeeper,lazio,atalanta,loan
