transfer date,player name,position,from,to,price
feb 25,christopher samba,defender,blackburn,anzhi,14000000
feb 25,andrei arshavin,midfielder,arsenal,zenit,loan
feb 1,roman pavlyuchenko,attacker,tottenham,lokomotiv moscow,9000000
feb 1,zlatko junuzovic,midfielder,austria wien,werder bremen,"750,000"
feb 1,kim in-sung,midfielder,gangneung city,cska moscow,0
jan 31,vedran corluka,defender,tottenham,bayer leverkusen,loan
jan 31,srdjan lakic,attacker,wolfsburg,hoffenheim,loan
jan 31,yannick djalo,attacker,sporting lisbon,benfica,0
jan 31,georges mandjeck,defender,rennes,auxerre,1000000
jan 31,kevin de bruyne,midfielder,chelsea,genk,loan
jan 31,issam jemaa,attacker,auxerre,brest,loan
jan 31,lucho gonzalez,midfielder,marseille,porto,0
jan 31,mohamed zidan,attacker,borussia dortmund,mainz,undisclosed
jan 31,thiago motta,midfielder,inter milan,psg,10000000
jan 31,colin kazim-richards,attacker,galatasaray,olympiakos,loan
jan 31,marc janko,attacker,twente,porto,3000000
jan 30,jong tae-se,attacker,bochum,koln,undisclosed
jan 30,pawel brozek,attacker,trabzonspor,celtic,loan
jan 29,elliot grandin,midfielder,blackpool,nice,loan
jan 29,diniyar bilyaletdinov,midfielder,everton,spartak moscow,6000000
jan 29,hamdan al kamali,defender,al wahda,lyon,loan
jan 28,mame biram diouf,attacker,manchester united,hannover,1800000
jan 27,roy carroll,goalkeeper,ofi crete,olympiakos,undisclosed
jan 27,moussa sow,attacker,lille,fenerbahce,12000000
jan 27,mattias johansson,defender,kalmar ff,az alkmaar,undisclosed
jan 27,alex,defender,chelsea,psg,5000000
jan 26,mauro cetto,defender,palermo,lille,loan
jan 26,felix bastians,defender,freiburg,hertha,undisclosed
jan 26,lamine gassama,defender,lyon,lorient,undisclosed
jan 26,serge aurier,defender,lens,toulouse,undisclosed
jan 25,vedad ibisevic,attacker,hoffenheim,stuttgart,5000000
jan 25,anthar yahia,defender,al nasr,kaiserslautern,0
jan 25,mevlut erding,attacker,psg,rennes,8000000
